title,link,text,date
学校举行会计学院特聘学术院长聘任仪式,../info/1003/109151.htm,学校举行会计学院特聘学术院长聘任仪式,2024.09.25
学校受邀在全省高校毕业生就业指导工作现场会作典型发言,../info/1003/109161.htm,学校受邀在全省高校毕业生就业指导工作现场会作典型发言,2024.09.25
学校召开2024级本科学生军训总结表彰大会,../info/1003/109011.htm,学校召开2024级本科学生军训总结表彰大会,2024.09.24
学校举行学习贯彻党的二十届三中全会精神宣讲会,../info/1003/109001.htm,学校举行学习贯彻党的二十届三中全会精神宣讲会,2024.09.22
学校召开百年校庆筹备工作推进会,../info/1003/108971.htm,学校召开百年校庆筹备工作推进会,2024.09.20
学校召开校园规划建设委员会会议暨柳林校区“新财经科技楼项目”工作推进会,../info/1003/108991.htm,学校召开校园规划建设委员会会议暨柳林校区“新财经科技楼项目”工作...,2024.09.20
中国共产党西南财经大学第十四次代表大会筹备工作动员大会召开,../info/1003/108951.htm,中国共产党西南财经大学第十四次代表大会筹备工作动员大会召开,2024.09.19
学校召开2024年秋季学期学位与研究生教育院长工作会,../info/1003/108931.htm,学校召开2024年秋季学期学位与研究生教育院长工作会,2024.09.16
学院（研究院）分管科研工作负责人会议召开,../info/1003/108941.htm,学院（研究院）分管科研工作负责人会议召开,2024.09.16
学校召开统一战线2024年“贺中秋·庆国庆”茶话会,../info/1003/108921.htm,学校召开统一战线2024年“贺中秋·庆国庆”茶话会,2024.09.13
学校召开党委理论学习中心组学习会 专题学习习近平同志《论教育》,../info/1003/108911.htm,学校召开党委理论学习中心组学习会 专题学习习近平同志《论教育》,2024.09.13
学校召开秋季学期本科教学工作会议,../info/1003/108981.htm,学校召开秋季学期本科教学工作会议,2024.09.13
学校1个集体获国家级表彰、2位教师获省级表彰,../info/1003/108901.htm,学校1个集体获国家级表彰、2位教师获省级表彰,2024.09.13
学校召开网络安全和数据安全专题培训会,../info/1003/108891.htm,学校召开网络安全和数据安全专题培训会,2024.09.13
学校党委召开常委会会议 传达学习习近平总书记在全国教育大会上的重要讲话精神,../info/1003/108881.htm,学校党委召开常委会会议 传达学习习近平总书记在全国教育大会上的重要...,2024.09.13
重走百年校史路 财经报国青年行——我校学子积极参与2024年暑期社会实践活动,../info/1003/108871.htm,重走百年校史路 财经报国青年行——我校学子积极参与2024年暑期社会实...,2024.09.12
赵建军调研一体化积极心理体验中心,../info/1003/108851.htm,赵建军调研一体化积极心理体验中心,2024.09.12
大力弘扬教育家精神 加快建设教育强国——学校举行庆祝第40个教师节暨表彰大会,../info/1003/108751.htm,大力弘扬教育家精神 加快建设教育强国——学校举行庆祝第40个教师节暨...,2024.09.10
学校召开党的建设和全面从严治党工作领导小组（扩大）会议  部署推进党纪学习教育常态化长效化工作,../info/1003/108771.htm,学校召开党的建设和全面从严治党工作领导小组（扩大）会议  部署推进...,2024.09.10
校领导深入一线检查新学期开学教学工作,../info/1003/108841.htm,校领导深入一线检查新学期开学教学工作,2024.09.10
校领导前往幼儿园亲切慰问一线幼儿教师,../info/1003/108761.htm,校领导前往幼儿园亲切慰问一线幼儿教师,2024.09.10
奔腾不息，勇毅前行！学校举行2024级新生开学典礼,../info/1003/108741.htm,奔腾不息，勇毅前行！学校举行2024级新生开学典礼,2024.09.08
